CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
60,Bermuda,33017,34089,34465,36498,37754,40301,42557,45766,48615,51389,53532,56338,59968,63487,67796,73474,81031,89180,93714,90431,89510,86171,86007,87712,88552,92487,96164,99437,101208
64,Bhutan,515,436,439,415,488,541,564,646,639,695,743,789,872,991,1100,1262,1366,1799,1874,1865,2313,2625,2599,2532,2724,2830,3013,3391,3524
68,Bolivia,709,762,788,784,801,881,951,999,1049,1003,998,949,904,908,967,1034,1219,1373,1715,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549
70,Bosnia and Herzegovina,1737,1400,1118,890,716,531,751,1038,1161,1283,1518,1583,1834,2316,2766,2981,3417,4193,5091,4715,4635,5092,4779,5132,5330,4727,4995,5395,5951
72,Botswana,2892,2916,2984,2918,2970,3220,3222,3259,3040,3406,3522,3278,3191,4331,5074,5520,5516,5833,5714,5256,6435,7617,7070,7225,7781,6800,7244,7893,8258
76,Brazil,2731,2496,2351,2594,3641,4802,5161,5272,5029,3448,3732,3165,2852,3074,3637,4790,5886,7348,8831,8598,11286,13245,12370,12300,12113,8814,8707,9881,8921
92,British Virgin Islands,6855,8706,10912,14366,18386,23475,26292,30314,34627,38378,42225,44740,42482,37518,38145,42997,44828,46095,43409,36998,36732,34573,35615,35802,37924,40283,43972,46122,48511
96,Brunei Darussalam,15077,15406,16929,16151,15647,17655,18607,18458,14061,15623,19959,18252,18671,20566,24268,28926,34327,36192,42034,30977,35269,47054,47742,44741,41725,31164,27156,28572,31627
100,Bulgaria,2344,958,1092,1391,1262,2267,1483,1378,1847,1690,1656,1788,2085,2709,3378,3886,4505,5861,7235,6958,6783,7774,7365,7626,7851,7032,7520,8300,9388
854,Burkina Faso,400,394,410,381,219,268,283,261,291,300,255,267,293,374,418,458,473,534,641,622,647,750,758,787,792,653,688,738,820
108,Burundi,211,210,191,168,181,167,143,159,144,129,111,102,94,86,95,152,167,172,198,211,234,250,252,257,275,277,279,297,294
132,Cabo Verde,1037,1055,1146,1123,1236,1444,1452,1388,1449,1614,1432,1470,1594,2057,2302,2387,2686,3187,3721,3517,3378,3738,3467,3617,3585,3042,3131,3293,3635
116,Cambodia,189,242,249,244,259,311,319,305,270,296,302,322,339,363,409,474,540,632,746,738,786,882,951,1016,1093,1163,1270,1385,1512
120,Cameroon,1088,1014,1004,1032,582,709,739,688,722,717,648,654,720,877,989,1012,1062,1194,1372,1315,1285,1403,1355,1465,1541,1326,1364,1425,1534
124,Canada,21643,21963,21059,20284,20094,20776,21407,22022,21118,22387,24348,23931,24396,28442,32270,36473,40548,44603,46582,40734,47361,51907,52365,52334,50570,43194,42060,44925,46192
136,Cayman Islands,48428,48216,48838,50138,51856,53127,54428,55849,69123,71065,70967,70099,70826,71431,73249,81399,83320,87892,87638,79624,75461,74409,74494,74708,76207,77518,79566,82440,85474
140,Central African Republic,537,501,499,439,284,362,319,289,291,294,263,262,273,307,336,350,373,418,476,468,464,513,504,352,393,363,399,435,481
148,Chad,307,296,298,252,198,234,253,234,257,216,189,224,251,330,516,662,713,776,927,815,918,1048,1095,1044,1061,828,714,692,736
152,Chile,2630,2957,3515,3673,4139,5222,5413,5836,5523,5017,5108,4605,4469,4800,6198,7599,9465,10502,10751,10209,12808,14637,15352,15843,14671,13574,13748,15037,15923
156,China,335,347,409,508,459,592,690,762,809,854,939,1031,1125,1262,1478,1718,2056,2638,3394,3748,4447,5486,6164,6876,7459,7830,7877,8546,9532
170,Colombia,1703,1710,1795,2038,2640,3000,3095,3340,3033,2614,2496,2417,2374,2260,2756,3404,3731,4703,5462,5195,6327,7324,8043,8213,8114,6176,5871,6375,6650
174,Comoros,1241,1213,1271,1222,837,1016,983,880,871,877,778,820,897,1127,1276,1287,1335,1238,1388,1339,1315,1446,1403,1505,1512,1271,1272,1309,1401
178,Congo,1304,1300,1229,1094,704,815,951,845,680,808,1074,906,952,1070,1381,1753,2153,2263,2892,2291,3200,3742,3923,3852,3991,2284,2010,2148,2703
184,Cook Islands,3990,4296,4378,4832,5691,6052,6151,5742,5102,5545,5576,5826,6638,8958,10302,10443,10736,11929,11981,11588,13093,14948,16622,16217,18057,17183,17682,19741,20705
188,Costa Rica,2328,2239,2595,2828,3016,3246,3199,3375,3579,3653,3773,3945,4025,4130,4385,4656,5201,6072,6859,6760,8142,9122,9913,10490,10547,11299,11666,11753,12027
