WPS Index rank,Country and group,WPS Index value,GDP per capita (PPP$; rank minus WPS rank),"Education (women's mean years of schooling, ages 25+)","Financial inclusion (women ages 15+, %)","Employment (women ages 25+, %)","Cellphone use (women ages 15+, %)","Parliamentary representationa (seats held by women, %)",Legal discrimination (aggregate score),Son bias                  (male to female ratio at birth),"Discriminatory work norms (males 15+ who agree it is unacceptable for women to work, %)"," Intimate partner violence (experienced by women in the past year, %)","Community safety (perception among women ages 15+, %)","Organized violence (battle deaths per 100,000 people)",,,,
107,Sri Lanka,0.679,-20,10.3,73.4,37.2,70.0,5.3,27,1.04,33,18.4,54.1,0.00,,,,
107,Zambia,0.679,17,6.5,40.3,77.5,67.9,18.0,15,1.03,16,26.7,37.2,0.00,,,,
109,Uganda,0.678,41,4.1,52.7,75.8,69.1,34.9,24,1.03,21,29.9,47.4,0.04,,,,
110,Mozambique,0.675,48,2.6,32.9,83.7,68.1,39.6,20,1.03,16,15.5,42.7,0.22,,,,
111,Maldives,0.671,-39,6.2,65.4,40.7,71.4,4.7,18,1.07,33,5.6,63.1,0.00,,,,
112,Botswana,0.667,-43,9.2,46.8,62.0,86.1,9.5,32,1.03,9,21.1,23.4,0.00,,,,
113,Togo,0.665,41,3.3,37.6,81.4,66.3,16.5,24,1.02,9,12.7,41.3,0.00,,,,
114,Turkey,0.661,-67,6.9,54.3,30.3,93.5,17.4,17,1.05,16,11.0,44.6,1.01,,,,
114,Senegal,0.661,17,1.7,38.4,38.3,71.5,41.8,29,1.04,22,12.2,46.6,0.00,,,,
116,Benin,0.659,27,3.0,28.6,79.6,70.2,7.2,21,1.04,14,13.9,50.9,0.00,,,,
117,Papua New Guinea,0.658,7,3.8,68.2,49.8,87.6,0.0,28,1.08,20,32.9,77.3,0.00,,,,
118,Iran,0.657,-61,9.9,91.6,15.0,93.6,5.9,46,1.05,38,15.3,58.3,0.07,,,,
118,Bhutan,0.657,-23,1.7,27.7,66.2,71.4,15.3,16,1.04,33,6.1,61.7,0.00,,,,
120,Saudi Arabia,0.655,-108,8.8,58.2,22.6,99.0,19.9,54,1.03,26,15.3,73.9,0.21,,,,
121,Tunisia,0.651,-32,6.35,28.4,19.9,79.8,35.9,29,1.05,26,9.0,52.3,0.25,,,,
121,Ethiopia,0.651,27,1.6,29.1,75.9,55.8,37.3,27,1.04,14,19.8,59.6,0.50,,,,
123,Azerbaijan,0.650,-56,10.2,27.7,64.6,86.8,16.8,21,1.13,31,9.8,74.3,0.64,,,,
124,Gabon,0.647,-60,7.4,53.7,40.2,87.9,17.8,35,1.03,11,31.5,26.9,0.00,,,,
125,Lesotho,0.641,12,7.0,46.5,53.3,55.2,23.0,30,1.03,19,28.0,34.5,0.00,,,,
126,Gambia,0.638,27,2.9,34.7,53.8,81.8,10.3,24,1.03,16,7.3,37.1,0.00,,,,
127,São Tomé and Príncipe,0.634,6,5.6,34.7,43.5,66.3,14.5,22,1.03,16,26.3,48.0,0.00,,,,
128,Comoros,0.632,10,3.7,17.9,46.3,71.9,6.1,29,1.05,16,4.9,67.9,0.00,,,,
129,Jordan,0.629,-32,10.1,26.6,13.7,89.8,15.4,46,1.05,38,13.8,77.8,0.15,,,,
