regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Jordan,M,17.92,18.47,19.02,19.56,20.11,20.66,21.22,21.79,22.38,22.97,23.59,24.21,24.85,25.49,26.15,26.82,27.49,28.18
Japan,F,2.2,2.25,2.31,2.38,2.45,2.54,2.64,2.74,2.84,2.94,3.04,3.14,3.24,3.33,3.42,3.51,3.6,3.68
Japan,M,1.78,1.86,1.96,2.08,2.21,2.36,2.52,2.69,2.88,3.07,3.27,3.48,3.69,3.9,4.12,4.34,4.57,4.8
Kazakhstan,F,15.39,15.75,16.11,16.48,16.85,17.24,17.63,18.03,18.44,18.86,19.29,19.73,20.19,20.66,21.14,21.64,22.15,22.67
Kazakhstan,M,11.32,11.67,12.04,12.4,12.78,13.16,13.56,13.97,14.39,14.83,15.27,15.73,16.21,16.71,17.22,17.75,18.3,18.87
Kenya,F,4.95,5.21,5.48,5.76,6.05,6.36,6.68,7.02,7.36,7.72,8.09,8.48,8.88,9.3,9.73,10.18,10.64,11.12
Kenya,M,1.08,1.15,1.22,1.29,1.36,1.44,1.53,1.62,1.71,1.81,1.92,2.03,2.14,2.27,2.4,2.54,2.69,2.84
Kyrgyzstan,F,10.99,11.3,11.63,11.98,12.35,12.73,13.14,13.56,13.99,14.45,14.91,15.4,15.9,16.42,16.95,17.5,18.06,18.64
Kyrgyzstan,M,7.38,7.63,7.91,8.2,8.51,8.83,9.17,9.53,9.9,10.3,10.7,11.12,11.56,12.02,12.5,12.99,13.51,14.05
Cambodia,F,1.86,1.98,2.1,2.23,2.36,2.5,2.64,2.79,2.95,3.12,3.29,3.48,3.67,3.88,4.09,4.32,4.57,4.82
Cambodia,M,0.81,0.87,0.94,1.02,1.09,1.18,1.26,1.36,1.46,1.56,1.67,1.79,1.92,2.06,2.21,2.37,2.54,2.72
Kiribati,F,39.6,40.49,41.33,42.12,42.87,43.58,44.25,44.88,45.47,46.05,46.61,47.15,47.69,48.23,48.76,49.3,49.83,50.36
Kiribati,M,28.25,29.21,30.13,31.03,31.89,32.72,33.53,34.3,35.05,35.78,36.5,37.22,37.93,38.65,39.37,40.1,40.83,41.56
Saint Kitts and Nevis,F,19.86,20.38,20.9,21.44,21.99,22.54,23.1,23.68,24.28,24.88,25.49,26.11,26.75,27.41,28.07,28.74,29.43,30.13
Saint Kitts and Nevis,M,7.82,8.14,8.47,8.81,9.17,9.53,9.91,10.31,10.73,11.16,11.6,12.07,12.56,13.06,13.59,14.15,14.72,15.33
Kuwait,F,39.16,39.5,39.85,40.2,40.56,40.92,41.28,41.64,42.02,42.4,42.78,43.17,43.57,43.96,44.36,44.77,45.17,45.58
Kuwait,M,23.66,24.14,24.63,25.12,25.63,26.15,26.68,27.22,27.77,28.34,28.92,29.51,30.11,30.73,31.35,31.99,32.63,33.29
Lao People's Democratic Republic,F,2.28,2.44,2.61,2.79,2.99,3.2,3.42,3.66,3.9,4.16,4.44,4.72,5.02,5.33,5.66,5.99,6.34,6.71
Lao People's Democratic Republic,M,0.79,0.87,0.95,1.05,1.15,1.27,1.39,1.53,1.68,1.85,2.03,2.22,2.43,2.65,2.89,3.16,3.44,3.74
Lebanon,F,29.71,30.12,30.53,30.94,31.34,31.75,32.16,32.56,32.98,33.4,33.83,34.27,34.71,35.16,35.62,36.08,36.54,37.01
Lebanon,M,18.07,18.56,19.05,19.54,20.04,20.54,21.06,21.58,22.11,22.65,23.21,23.78,24.36,24.95,25.55,26.16,26.79,27.43
Liberia,F,8.11,8.27,8.48,8.73,9.01,9.32,9.66,10.01,10.38,10.76,11.15,11.55,11.96,12.38,12.81,13.25,13.71,14.17
Liberia,M,2.63,2.69,2.77,2.87,2.98,3.12,3.26,3.42,3.58,3.76,3.94,4.13,4.33,4.54,4.76,4.99,5.23,5.49
Libya,F,31.4,31.82,32.25,32.69,33.14,33.59,34.05,34.51,34.99,35.48,35.98,36.48,36.99,37.51,38.04,38.57,39.11,39.64
Libya,M,15.78,16.21,16.65,17.1,17.56,18.04,18.53,19.04,19.56,20.1,20.65,21.22,21.8,22.4,23.02,23.65,24.29,24.96
Saint Lucia,F,18.16,18.67,19.16,19.63,20.09,20.54,20.97,21.41,21.85,22.3,22.75,23.22,23.75,24.32,24.93,25.58,26.27,26.99
Saint Lucia,M,6.57,6.85,7.13,7.39,7.65,7.91,8.16,8.42,8.67,8.94,9.21,9.49,9.81,10.17,10.57,11.01,11.49,12.01
Sri Lanka,F,3.08,3.25,3.41,3.59,3.78,3.98,4.19,4.4,4.63,4.87,5.12,5.38,5.66,5.95,6.25,6.57,6.91,7.26
Sri Lanka,M,0.89,0.95,1.02,1.09,1.17,1.25,1.34,1.44,1.54,1.65,1.77,1.89,2.03,2.17,2.33,2.49,2.67,2.86
Lesotho,F,15.76,16.35,16.95,17.55,18.17,18.79,19.42,20.06,20.7,21.35,22.01,22.66,23.32,23.99,24.65,25.32,25.99,26.66
Lesotho,M,1.66,1.77,1.89,2.01,2.14,2.28,2.42,2.58,2.74,2.91,3.09,3.28,3.48,3.69,3.91,4.14,4.39,4.65
Lithuania,F,24.93,25.05,25.18,25.32,25.46,25.6,25.75,25.91,26.08,26.25,26.43,26.62,26.81,27,27.19,27.39,27.59,27.79
Lithuania,M,16.88,17.25,17.63,18.02,18.41,18.81,19.22,19.64,20.06,20.5,20.93,21.38,21.83,22.29,22.75,23.21,23.68,24.16
Luxembourg,F,15.35,15.66,15.97,16.29,16.61,16.94,17.26,17.59,17.91,18.23,18.54,18.85,19.16,19.47,19.78,20.08,20.4,20.71
Luxembourg,M,15.47,15.95,16.43,16.92,17.42,17.94,18.46,18.98,19.51,20.04,20.58,21.12,21.67,22.22,22.78,23.34,23.92,24.5
Latvia,F,22.49,22.6,22.71,22.84,22.98,23.12,23.27,23.42,23.58,23.73,23.9,24.06,24.23,24.4,24.58,24.76,24.95,25.14
Latvia,M,14.68,15.02,15.37,15.73,16.1,16.49,16.88,17.28,17.69,18.1,18.51,18.93,19.36,19.79,20.23,20.68,21.13,21.6
Morocco,F,21.75,22.3,22.84,23.39,23.94,24.5,25.07,25.65,26.25,26.87,27.5,28.14,28.8,29.46,30.13,30.81,31.48,32.16
Morocco,M,10.14,10.55,10.98,11.42,11.86,12.32,12.8,13.3,13.82,14.36,14.93,15.51,16.12,16.74,17.39,18.05,18.73,19.42
Republic of Moldova,F,17.32,17.49,17.67,17.85,18.05,18.24,18.45,18.66,18.88,19.1,19.32,19.55,19.79,20.04,20.3,20.56,20.83,21.12
Republic of Moldova,M,9.99,10.29,10.59,10.9,11.22,11.55,11.89,12.23,12.58,12.94,13.3,13.67,14.06,14.45,14.86,15.28,15.71,16.16
Madagascar,F,3.23,3.39,3.56,3.74,3.93,4.12,4.33,4.55,4.79,5.04,5.3,5.58,5.87,6.17,6.49,6.82,7.17,7.53
Madagascar,M,1.09,1.16,1.22,1.29,1.37,1.45,1.53,1.62,1.71,1.82,1.93,2.05,2.18,2.32,2.47,2.63,2.8,2.98
Maldives,F,4.34,4.57,4.83,5.12,5.44,5.78,6.14,6.53,6.94,7.37,7.82,8.29,8.77,9.26,9.77,10.3,10.83,11.38
Maldives,M,1.42,1.52,1.65,1.79,1.94,2.12,2.31,2.53,2.76,3.02,3.3,3.6,3.92,4.25,4.61,5,5.4,5.83
Mexico,F,24.44,24.91,25.39,25.87,26.35,26.83,27.32,27.81,28.3,28.79,29.29,29.78,30.28,30.78,31.28,31.79,32.29,32.8
Mexico,M,15.67,16.14,16.63,17.11,17.6,18.1,18.6,19.09,19.59,20.1,20.6,21.12,21.63,22.15,22.68,23.21,23.76,24.31
Marshall Islands,F,49.55,50.06,50.57,51.06,51.55,52.03,52.51,52.98,53.44,53.9,54.35,54.79,55.23,55.66,56.09,56.52,56.94,57.35
Marshall Islands,M,36.59,37.28,37.98,38.68,39.38,40.08,40.79,41.49,42.19,42.89,43.59,44.29,44.98,45.67,46.37,47.05,47.74,48.41
The former Yugoslav Republic of Macedonia,F,18.2,18.38,18.56,18.74,18.92,19.11,19.3,19.5,19.71,19.94,20.17,20.41,20.66,20.92,21.2,21.48,21.77,22.08
The former Yugoslav Republic of Macedonia,M,15.36,15.73,16.1,16.48,16.85,17.23,17.62,18.01,18.42,18.84,19.27,19.71,20.16,20.63,21.11,21.6,22.11,22.63
Mali,F,5.43,5.72,6.03,6.36,6.7,7.06,7.43,7.82,8.22,8.63,9.06,9.49,9.94,10.4,10.87,11.35,11.85,12.36
Mali,M,1.54,1.64,1.75,1.87,2,2.14,2.28,2.43,2.6,2.77,2.95,3.14,3.34,3.56,3.79,4.03,4.29,4.56
Malta,F,24.55,24.83,25.11,25.38,25.64,25.9,26.15,26.4,26.63,26.86,27.08,27.3,27.52,27.73,27.93,28.13,28.34,28.54
Malta,M,20.74,21.23,21.72,22.21,22.71,23.2,23.7,24.19,24.68,25.17,25.67,26.16,26.65,27.15,27.64,28.14,28.64,29.15
Myanmar,F,2.89,3.05,3.23,3.41,3.6,3.81,4.02,4.25,4.49,4.74,5.01,5.29,5.58,5.89,6.21,6.55,6.9,7.27
Myanmar,M,1.14,1.23,1.33,1.43,1.54,1.66,1.79,1.93,2.08,2.24,2.41,2.6,2.8,3.01,3.24,3.49,3.75,4.03
Montenegro,F,17.17,17.6,18.02,18.44,18.85,19.25,19.65,20.02,20.38,20.71,21.03,21.35,21.65,21.95,22.25,22.55,22.84,23.15
Montenegro,M,13.89,14.48,15.06,15.65,16.24,16.83,17.42,18,18.55,19.1,19.63,20.15,20.67,21.19,21.7,22.21,22.73,23.26
Mongolia,F,14.05,14.37,14.74,15.16,15.61,16.1,16.62,17.16,17.73,18.31,18.91,19.53,20.14,20.76,21.38,22,22.62,23.23
Mongolia,M,8.32,8.61,8.94,9.3,9.71,10.16,10.64,11.15,11.7,12.28,12.88,13.5,14.13,14.78,15.45,16.13,16.82,17.52
Mozambique,F,5.22,5.46,5.72,5.98,6.24,6.51,6.79,7.08,7.38,7.68,8,8.32,8.66,9,9.36,9.73,10.12,10.52
Mozambique,M,1.41,1.49,1.58,1.66,1.75,1.84,1.93,2.03,2.13,2.23,2.34,2.45,2.57,2.7,2.83,2.97,3.12,3.28
Mauritania,F,9.8,10.26,10.73,11.2,11.69,12.19,12.69,13.2,13.71,14.23,14.75,15.27,15.8,16.32,16.86,17.39,17.93,18.47
Mauritania,M,2.64,2.81,2.98,3.17,3.36,3.56,3.77,3.98,4.21,4.44,4.68,4.93,5.18,5.45,5.73,6.02,6.32,6.63
Mauritius,F,9.82,10.1,10.39,10.69,10.99,11.3,11.61,11.93,12.26,12.59,12.94,13.29,13.66,14.04,14.43,14.83,15.24,15.67
Mauritius,M,3.15,3.27,3.39,3.51,3.63,3.75,3.88,4.01,4.14,4.28,4.42,4.56,4.71,4.87,5.04,5.21,5.4,5.59
Malawi,F,4.03,4.25,4.48,4.71,4.95,5.21,5.47,5.74,6.02,6.31,6.61,6.93,7.26,7.6,7.96,8.34,8.73,9.14
Malawi,M,0.89,0.95,1,1.06,1.12,1.18,1.25,1.31,1.38,1.46,1.53,1.61,1.7,1.79,1.88,1.98,2.09,2.21
Malaysia,F,8.85,9.33,9.82,10.32,10.83,11.34,11.85,12.38,12.9,13.43,13.97,14.52,15.07,15.63,16.2,16.77,17.35,17.94
Malaysia,M,4.42,4.78,5.17,5.57,5.98,6.42,6.87,7.34,7.82,8.32,8.84,9.38,9.94,10.51,11.11,11.72,12.35,12.99
Namibia,F,14.8,15.31,15.84,16.39,16.96,17.55,18.15,18.76,19.4,20.04,20.7,21.36,22.03,22.7,23.38,24.05,24.73,25.41
Namibia,M,2.64,2.8,2.97,3.16,3.36,3.57,3.8,4.05,4.31,4.59,4.89,5.21,5.54,5.9,6.27,6.66,7.08,7.52
Niger,F,3.85,4.04,4.25,4.46,4.69,4.93,5.17,5.43,5.7,5.98,6.27,6.57,6.89,7.22,7.57,7.93,8.31,8.7
Niger,M,0.95,1,1.06,1.12,1.18,1.25,1.32,1.4,1.48,1.56,1.65,1.75,1.85,1.96,2.07,2.2,2.33,2.47
Nigeria,F,5.86,6.16,6.48,6.82,7.18,7.55,7.94,8.35,8.77,9.2,9.64,10.1,10.57,11.04,11.53,12.03,12.55,13.07
Nigeria,M,1.61,1.72,1.83,1.94,2.07,2.21,2.35,2.5,2.67,2.84,3.02,3.21,3.41,3.63,3.85,4.09,4.35,4.62
Nicaragua,F,19.81,20.31,20.81,21.32,21.83,22.35,22.87,23.39,23.92,24.46,25,25.55,26.1,26.66,27.23,27.8,28.38,28.97
Nicaragua,M,10.14,10.52,10.91,11.31,11.72,12.13,12.56,12.99,13.43,13.88,14.34,14.82,15.3,15.8,16.31,16.84,17.38,17.93
Netherlands,F,13.51,13.9,14.31,14.71,15.13,15.55,15.97,16.38,16.78,17.18,17.56,17.94,18.3,18.65,18.99,19.33,19.66,19.98
Netherlands,M,11.48,11.95,12.45,12.96,13.49,14.03,14.59,15.15,15.71,16.27,16.84,17.41,17.97,18.53,19.09,19.65,20.22,20.78
Norway,F,16.37,16.75,17.14,17.52,17.89,18.26,18.63,18.99,19.35,19.7,20.06,20.41,20.76,21.11,21.47,21.82,22.18,22.54
Norway,M,14.53,15.04,15.55,16.06,16.57,17.09,17.61,18.12,18.64,19.17,19.69,20.23,20.77,21.32,21.88,22.45,23.02,23.61
Nepal,F,2.04,2.18,2.32,2.47,2.62,2.79,2.95,3.13,3.31,3.51,3.71,3.91,4.13,4.36,4.6,4.85,5.11,5.38
Nepal,M,0.86,0.92,0.99,1.07,1.15,1.23,1.32,1.41,1.51,1.61,1.72,1.83,1.95,2.08,2.22,2.36,2.51,2.68
Nauru,F,59.01,59.28,59.55,59.82,60.09,60.35,60.61,60.87,61.13,61.39,61.65,61.9,62.14,62.39,62.63,62.87,63.11,63.34
Nauru,M,50.32,50.83,51.34,51.85,52.36,52.87,53.37,53.88,54.38,54.88,55.38,55.87,56.35,56.84,57.31,57.78,58.24,58.7
New Zealand,F,22.22,22.75,23.28,23.82,24.36,24.9,25.44,25.98,26.52,27.05,27.59,28.14,28.68,29.22,29.77,30.32,30.88,31.44
New Zealand,M,19.66,20.24,20.82,21.4,22,22.59,23.2,23.8,24.4,25.01,25.62,26.24,26.86,27.48,28.12,28.76,29.41,30.08
Oman,F,24.25,24.73,25.2,25.66,26.12,26.58,27.06,27.56,28.1,28.67,29.26,29.88,30.5,31.14,31.78,32.43,33.07,33.72
Oman,M,12.87,13.32,13.77,14.22,14.68,15.15,15.64,16.16,16.72,17.31,17.93,18.58,19.26,19.96,20.67,21.41,22.16,22.93
Pakistan,F,5.32,5.57,5.84,6.11,6.4,6.7,7,7.32,7.66,8,8.36,8.73,9.12,9.52,9.93,10.36,10.8,11.25
Pakistan,M,2.27,2.41,2.55,2.71,2.87,3.04,3.22,3.41,3.61,3.82,4.05,4.28,4.53,4.8,5.07,5.37,5.68,6.01
Panama,F,18.56,19.14,19.7,20.25,20.79,21.31,21.83,22.35,22.86,23.37,23.87,24.39,24.91,25.43,25.97,26.51,27.06,27.61
Panama,M,9.81,10.27,10.74,11.19,11.64,12.09,12.54,12.98,13.42,13.87,14.32,14.78,15.26,15.74,16.23,16.74,17.27,17.81
Peru,F,17.29,17.66,18.04,18.42,18.8,19.19,19.58,19.98,20.38,20.78,21.19,21.61,22.02,22.45,22.87,23.3,23.74,24.18
Peru,M,8.97,9.28,9.6,9.93,10.26,10.6,10.94,11.29,11.65,12.01,12.38,12.76,13.14,13.53,13.93,14.34,14.75,15.17
Philippines,F,4.04,4.19,4.35,4.52,4.68,4.85,5.03,5.21,5.4,5.59,5.8,6.01,6.23,6.46,6.7,6.96,7.23,7.51
Philippines,M,2.17,2.3,2.42,2.56,2.69,2.84,2.99,3.14,3.31,3.48,3.66,3.85,4.05,4.26,4.48,4.72,4.97,5.24
Palau,F,50.24,50.61,51.05,51.54,52.07,52.63,53.22,53.81,54.41,54.99,55.57,56.12,56.64,57.12,57.58,58.02,58.45,58.84
Palau,M,38.73,39.3,39.94,40.65,41.41,42.23,43.09,43.95,44.83,45.7,46.55,47.4,48.2,48.97,49.71,50.42,51.11,51.77
Papua New Guinea,F,16.58,17.03,17.5,17.98,18.47,18.97,19.49,20.01,20.55,21.09,21.64,22.21,22.78,23.36,23.94,24.54,25.15,25.77
Papua New Guinea,M,9.1,9.42,9.76,10.11,10.47,10.86,11.25,11.66,12.08,12.52,12.98,13.45,13.93,14.43,14.95,15.49,16.04,16.62
Poland,F,18.44,18.62,18.81,19,19.19,19.4,19.6,19.82,20.04,20.26,20.48,20.71,20.94,21.18,21.43,21.68,21.94,22.2
Poland,M,15.6,16.01,16.44,16.87,17.31,17.76,18.22,18.69,19.16,19.64,20.12,20.61,21.11,21.61,22.12,22.63,23.16,23.7
North Korea,F,4.7,4.82,4.95,5.07,5.2,5.34,5.47,5.61,5.76,5.91,6.06,6.21,6.37,6.54,6.71,6.89,7.07,7.26
North Korea,M,2.85,2.99,3.13,3.27,3.42,3.58,3.75,3.92,4.09,4.28,4.47,4.67,4.88,5.1,5.33,5.57,5.82,6.09
Portugal,F,14.74,15.14,15.55,15.95,16.35,16.75,17.14,17.52,17.91,18.29,18.66,19.04,19.41,19.77,20.14,20.5,20.87,21.23
Portugal,M,11.53,12,12.47,12.96,13.44,13.93,14.43,14.94,15.44,15.96,16.48,17.01,17.54,18.08,18.63,19.18,19.75,20.33
Paraguay,F,14.57,15.08,15.59,16.1,16.61,17.13,17.65,18.16,18.67,19.19,19.7,20.21,20.73,21.26,21.79,22.33,22.88,23.43
Paraguay,M,9.18,9.6,10.03,10.47,10.9,11.35,11.8,12.26,12.71,13.17,13.63,14.1,14.58,15.07,15.57,16.08,16.61,17.15
State of Palestine,F,29.87,30.39,30.91,31.42,31.92,32.43,32.93,33.43,33.94,34.45,34.97,35.5,36.03,36.57,37.11,37.65,38.2,38.75
State of Palestine,M,16.29,16.81,17.33,17.85,18.38,18.91,19.46,20.01,20.57,21.14,21.73,22.33,22.95,23.57,24.22,24.88,25.55,26.23
Qatar,F,35.53,35.96,36.39,36.81,37.24,37.66,38.09,38.53,38.97,39.42,39.88,40.34,40.8,41.27,41.73,42.18,42.64,43.09
Qatar,M,21.74,22.29,22.85,23.42,23.99,24.57,25.16,25.77,26.39,27.02,27.68,28.35,29.02,29.69,30.38,31.06,31.76,32.46
Romania,F,16.97,17.16,17.37,17.58,17.8,18.03,18.27,18.53,18.8,19.08,19.37,19.66,19.97,20.28,20.61,20.94,21.27,21.62
Romania,M,14.61,15,15.41,15.83,16.27,16.72,17.19,17.68,18.18,18.7,19.24,19.78,20.35,20.92,21.51,22.11,22.73,23.36
Russia,F,24.52,24.62,24.74,24.85,24.98,25.11,25.24,25.38,25.52,25.66,25.81,25.96,26.11,26.26,26.42,26.58,26.75,26.92
Russia,M,11.68,11.99,12.31,12.64,12.98,13.33,13.69,14.05,14.43,14.81,15.19,15.59,15.99,16.39,16.8,17.22,17.65,18.08
Rwanda,F,3.52,3.77,4.02,4.28,4.56,4.85,5.15,5.46,5.78,6.12,6.47,6.83,7.21,7.6,8.01,8.43,8.86,9.31
Rwanda,M,0.57,0.62,0.67,0.72,0.78,0.84,0.9,0.96,1.04,1.11,1.19,1.27,1.36,1.46,1.56,1.67,1.79,1.91
Saudi Arabia,F,33.55,34.04,34.53,35.03,35.52,36.02,36.51,37.01,37.52,38.03,38.55,39.08,39.61,40.14,40.67,41.2,41.74,42.27
Saudi Arabia,M,19.57,20.13,20.7,21.28,21.87,22.47,23.08,23.71,24.35,25.02,25.69,26.38,27.09,27.8,28.53,29.27,30.02,30.78
Sudan,F,6.67,6.95,7.23,7.51,7.79,8.09,8.39,8.7,9.02,9.35,9.68,10.03,10.39,10.76,11.15,11.54,11.95,12.38
Sudan,M,1.76,1.85,1.94,2.04,2.13,2.23,2.33,2.44,2.54,2.66,2.77,2.89,3.02,3.16,3.3,3.45,3.61,3.78
Senegal,F,6.93,7.21,7.49,7.78,8.09,8.4,8.72,9.05,9.39,9.74,10.09,10.46,10.84,11.23,11.63,12.04,12.47,12.92
Senegal,M,1.76,1.85,1.95,2.04,2.14,2.25,2.36,2.47,2.59,2.71,2.84,2.97,3.12,3.27,3.43,3.6,3.78,3.97
Singapore,F,5.28,5.33,5.38,5.44,5.49,5.54,5.6,5.66,5.72,5.78,5.84,5.91,5.97,6.04,6.11,6.18,6.26,6.34
Singapore,M,3.33,3.44,3.56,3.68,3.8,3.92,4.06,4.19,4.33,4.48,4.62,4.78,4.94,5.11,5.28,5.46,5.64,5.84
Solomon Islands,F,17.14,17.66,18.19,18.73,19.28,19.84,20.41,20.99,21.57,22.16,22.76,23.36,23.97,24.59,25.21,25.83,26.46,27.09
Solomon Islands,M,9.04,9.42,9.82,10.24,10.67,11.12,11.58,12.07,12.57,13.09,13.63,14.18,14.76,15.35,15.97,16.6,17.25,17.92
Sierra Leone,F,6.8,7.09,7.4,7.72,8.05,8.39,8.74,9.1,9.47,9.84,10.23,10.63,11.04,11.46,11.9,12.35,12.81,13.29
Sierra Leone,M,1.56,1.65,1.74,1.84,1.94,2.05,2.16,2.27,2.39,2.52,2.65,2.79,2.93,3.08,3.25,3.42,3.61,3.81
El Salvador,F,19.05,19.67,20.29,20.89,21.48,22.07,22.64,23.22,23.79,24.35,24.92,25.49,26.06,26.63,27.21,27.78,28.36,28.95
El Salvador,M,10.06,10.56,11.06,11.56,12.06,12.56,13.05,13.55,14.05,14.55,15.06,15.58,16.1,16.64,17.19,17.74,18.31,18.9
Somalia,F,6.09,6.36,6.64,6.94,7.24,7.56,7.89,8.23,8.58,8.94,9.31,9.7,10.09,10.5,10.93,11.36,11.81,12.27
Somalia,M,1.62,1.71,1.8,1.9,2,2.11,2.23,2.35,2.47,2.6,2.74,2.88,3.04,3.2,3.37,3.55,3.74,3.94
Serbia,F,16.84,17.11,17.38,17.66,17.94,18.23,18.52,18.82,19.11,19.41,19.71,20,20.3,20.6,20.91,21.21,21.52,21.84
Serbia,M,13.24,13.66,14.08,14.51,14.95,15.4,15.85,16.31,16.77,17.24,17.7,18.17,18.64,19.12,19.59,20.07,20.56,21.06
Sao Tome and Principe,F,8.7,9.14,9.58,10.04,10.5,10.97,11.45,11.94,12.42,12.91,13.4,13.9,14.39,14.89,15.39,15.89,16.4,16.91
Sao Tome and Principe,M,2.75,2.94,3.13,3.34,3.56,3.79,4.02,4.27,4.52,4.78,5.05,5.33,5.61,5.91,6.21,6.53,6.86,7.2
Suriname,F,25.43,25.9,26.38,26.86,27.34,27.82,28.31,28.8,29.28,29.75,30.23,30.71,31.19,31.68,32.17,32.66,33.16,33.67
Suriname,M,11.29,11.68,12.08,12.48,12.9,13.32,13.75,14.18,14.62,15.06,15.51,15.96,16.42,16.9,17.38,17.88,18.39,18.92
Slovakia,F,16.16,16.34,16.52,16.71,16.9,17.1,17.31,17.52,17.74,17.96,18.19,18.42,18.65,18.9,19.14,19.4,19.66,19.93
Slovakia,M,14.01,14.37,14.73,15.1,15.48,15.86,16.25,16.65,17.05,17.46,17.87,18.29,18.72,19.15,19.59,20.03,20.49,20.95
Slovenia,F,16.72,16.94,17.17,17.39,17.62,17.85,18.09,18.33,18.58,18.82,19.07,19.33,19.59,19.86,20.13,20.41,20.7,21
Slovenia,M,12.65,13,13.36,13.73,14.1,14.47,14.85,15.23,15.62,16.01,16.41,16.81,17.22,17.63,18.05,18.49,18.93,19.38
Sweden,F,13.6,13.85,14.11,14.36,14.62,14.87,15.12,15.38,15.63,15.89,16.15,16.41,16.68,16.94,17.21,17.49,17.77,18.05
Sweden,M,14.76,15.2,15.64,16.09,16.55,17,17.46,17.93,18.41,18.89,19.38,19.88,20.38,20.9,21.42,21.96,22.51,23.06
Eswatini,F,17.15,17.62,18.09,18.57,19.06,19.55,20.05,20.56,21.08,21.6,22.14,22.69,23.24,23.81,24.39,24.97,25.57,26.17
Eswatini,M,2.45,2.57,2.7,2.83,2.96,3.1,3.24,3.39,3.55,3.71,3.88,4.07,4.26,4.46,4.67,4.9,5.14,5.4
Seychelles,F,12.66,13.04,13.42,13.82,14.23,14.66,15.09,15.53,15.99,16.45,16.92,17.41,17.9,18.41,18.92,19.45,19.98,20.53
Seychelles,M,3.82,3.97,4.13,4.3,4.48,4.66,4.85,5.05,5.26,5.47,5.69,5.92,6.17,6.42,6.69,6.97,7.27,7.58
Syrian Arab Republic,F,24.24,24.8,25.37,25.95,26.53,27.13,27.73,28.33,28.94,29.57,30.2,30.83,31.48,32.13,32.78,33.44,34.1,34.76
Syrian Arab Republic,M,11.22,11.65,12.1,12.57,13.05,13.55,14.06,14.59,15.14,15.71,16.29,16.89,17.51,18.14,18.8,19.47,20.16,20.86
Chad,F,4.21,4.41,4.62,4.84,5.07,5.3,5.55,5.8,6.06,6.34,6.62,6.91,7.21,7.52,7.85,8.19,8.55,8.92
Chad,M,1.28,1.35,1.42,1.5,1.58,1.67,1.75,1.85,1.94,2.04,2.15,2.26,2.38,2.5,2.63,2.78,2.93,3.09
Togo,F,5.99,6.28,6.59,6.91,7.24,7.58,7.93,8.29,8.66,9.05,9.44,9.84,10.25,10.67,11.11,11.56,12.02,12.49
Togo,M,1.5,1.59,1.69,1.79,1.89,2.01,2.12,2.25,2.37,2.51,2.64,2.79,2.94,3.11,3.28,3.46,3.65,3.86
Thailand,F,5.08,5.32,5.6,5.91,6.25,6.61,7,7.42,7.86,8.33,8.82,9.33,9.86,10.4,10.95,11.53,12.12,12.72
Thailand,M,1.84,1.96,2.11,2.27,2.45,2.66,2.89,3.14,3.41,3.71,4.04,4.39,4.76,5.15,5.57,6.02,6.49,6.98
Tajikistan,F,9.48,9.73,10.01,10.31,10.64,10.98,11.35,11.75,12.16,12.59,13.04,13.5,13.99,14.49,15.01,15.54,16.09,16.65
Tajikistan,M,5.96,6.15,6.35,6.58,6.82,7.08,7.36,7.65,7.97,8.3,8.65,9.02,9.4,9.8,10.21,10.65,11.1,11.57
Turkmenistan,F,12.59,12.97,13.36,13.77,14.2,14.64,15.09,15.55,16.03,16.52,17.03,17.55,18.08,18.63,19.19,19.76,20.34,20.94
Turkmenistan,M,8.32,8.64,8.98,9.33,9.69,10.07,10.46,10.87,11.3,11.74,12.2,12.67,13.16,13.67,14.19,14.73,15.29,15.87
Timor-Leste,F,1.84,1.95,2.07,2.19,2.32,2.46,2.61,2.76,2.93,3.1,3.29,3.48,3.69,3.91,4.14,4.38,4.64,4.91
Timor-Leste,M,0.71,0.77,0.83,0.9,0.97,1.05,1.13,1.22,1.32,1.42,1.54,1.66,1.79,1.94,2.1,2.26,2.45,2.64
Tonga,F,43.98,44.65,45.31,45.97,46.62,47.26,47.9,48.53,49.15,49.77,50.39,51,51.6,52.19,52.78,53.36,53.94,54.51
Tonga,M,28.24,28.97,29.7,30.45,31.2,31.96,32.72,33.49,34.27,35.05,35.83,36.62,37.41,38.2,39,39.8,40.6,41.41
Trinidad,F,14.85,15.47,16.09,16.7,17.32,17.93,18.55,19.17,19.8,20.44,21.09,21.75,22.43,23.12,23.82,24.54,25.27,26.02
Trinidad,M,5.13,5.41,5.69,5.98,6.26,6.55,6.84,7.14,7.45,7.77,8.09,8.43,8.78,9.15,9.53,9.94,10.36,10.8
Tunisia,F,24.86,25.41,25.95,26.5,27.04,27.59,28.13,28.68,29.22,29.77,30.32,30.87,31.43,31.99,32.56,33.13,33.7,34.28
Tunisia,M,10.38,10.81,11.24,11.68,12.13,12.59,13.06,13.55,14.04,14.55,15.07,15.6,16.15,16.7,17.28,17.87,18.48,19.1
Turkey,F,28.63,29.22,29.82,30.42,31.02,31.63,32.25,32.87,33.49,34.12,34.76,35.39,36.03,36.67,37.3,37.94,38.57,39.2
