regions,gender,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,M,19.32,19.9,20.49,21.08,21.67,22.27,22.86,23.45,24.04,24.64,25.23,25.83,26.44,27.04,27.66,28.28,28.92,29.56
Austria,F,13.21,13.5,13.79,14.08,14.37,14.66,14.95,15.24,15.54,15.83,16.13,16.43,16.73,17.03,17.35,17.66,17.98,18.32
Austria,M,13.92,14.34,14.76,15.19,15.63,16.07,16.51,16.96,17.41,17.87,18.34,18.81,19.29,19.78,20.28,20.8,21.32,21.86
Azerbaijan,F,15.24,15.57,15.94,16.33,16.74,17.17,17.62,18.09,18.58,19.09,19.6,20.14,20.68,21.24,21.8,22.38,22.97,23.57
Azerbaijan,M,8.69,8.96,9.24,9.55,9.88,10.23,10.6,10.99,11.4,11.82,12.27,12.73,13.2,13.69,14.2,14.73,15.28,15.84
Burundi,F,3.58,3.78,3.99,4.21,4.44,4.68,4.93,5.2,5.47,5.76,6.07,6.38,6.71,7.06,7.42,7.8,8.2,8.61
Burundi,M,0.79,0.84,0.89,0.94,1,1.06,1.12,1.18,1.25,1.32,1.4,1.48,1.57,1.66,1.76,1.87,1.98,2.1
Belgium,F,17.32,17.55,17.78,18,18.22,18.44,18.66,18.87,19.08,19.28,19.49,19.69,19.9,20.1,20.31,20.52,20.74,20.96
Belgium,M,15.93,16.32,16.72,17.11,17.51,17.92,18.32,18.73,19.14,19.56,19.98,20.4,20.83,21.27,21.71,22.16,22.63,23.1
Benin,F,7.19,7.52,7.86,8.2,8.56,8.93,9.32,9.71,10.11,10.52,10.94,11.37,11.81,12.26,12.73,13.2,13.69,14.2
Benin,M,1.95,2.06,2.18,2.3,2.42,2.55,2.69,2.83,2.98,3.13,3.3,3.46,3.64,3.83,4.03,4.24,4.46,4.7
Burkina Faso,F,2.97,3.15,3.35,3.56,3.79,4.04,4.29,4.57,4.85,5.16,5.47,5.8,6.15,6.51,6.89,7.28,7.69,8.11
Burkina Faso,M,0.78,0.83,0.89,0.96,1.03,1.11,1.19,1.28,1.37,1.47,1.58,1.7,1.82,1.95,2.1,2.25,2.41,2.59
Bangladesh,F,1.87,1.98,2.1,2.22,2.36,2.5,2.65,2.81,2.99,3.17,3.36,3.56,3.76,3.98,4.21,4.45,4.7,4.95
Bangladesh,M,0.66,0.71,0.76,0.81,0.88,0.94,1.01,1.09,1.18,1.27,1.36,1.47,1.58,1.7,1.83,1.96,2.11,2.27
Bulgaria,F,19.6,19.82,20.05,20.28,20.53,20.79,21.05,21.32,21.6,21.89,22.18,22.47,22.77,23.06,23.37,23.67,23.98,24.29
Bulgaria,M,16.69,17.13,17.58,18.05,18.53,19.02,19.52,20.03,20.55,21.08,21.61,22.15,22.69,23.24,23.8,24.36,24.92,25.5
Bahrain,F,30.41,30.74,31.07,31.41,31.75,32.1,32.45,32.8,33.17,33.55,33.94,34.33,34.73,35.14,35.56,35.98,36.41,36.84
Bahrain,M,17.14,17.55,17.97,18.39,18.82,19.26,19.71,20.17,20.65,21.14,21.64,22.16,22.69,23.24,23.79,24.37,24.95,25.54
Bahamas,F,30.45,30.92,31.38,31.84,32.29,32.74,33.18,33.62,34.06,34.5,34.94,35.38,35.82,36.26,36.71,37.16,37.62,38.08
Bahamas,M,15.41,15.89,16.38,16.87,17.36,17.86,18.36,18.86,19.38,19.9,20.42,20.95,21.5,22.06,22.63,23.22,23.81,24.43
Bosnia and Herzegovina,F,13.82,14.04,14.26,14.49,14.72,14.96,15.21,15.46,15.72,15.99,16.26,16.54,16.83,17.13,17.45,17.77,18.1,18.44
Bosnia and Herzegovina,M,10.49,10.81,11.15,11.49,11.83,12.19,12.55,12.92,13.3,13.68,14.08,14.48,14.89,15.31,15.75,16.2,16.67,17.15
Belarus,F,22.18,22.41,22.65,22.89,23.14,23.39,23.64,23.88,24.13,24.38,24.62,24.86,25.1,25.33,25.57,25.8,26.04,26.27
