Year,Overall rank,Country or region,Happiness Score,GDP per capita
2018,88,Tajikistan,5.199,0.474
2018,89,Macedonia,5.185,0.959
2018,90,Jordan,5.161,0.822
2018,91,Nigeria,5.155,0.689
2018,92,Kyrgyzstan,5.131,0.53
2018,93,Bosnia and Herzegovina,5.129,0.915
2018,94,Mongolia,5.125,0.914
2018,95,Vietnam,5.103,0.715
2018,96,Indonesia,5.093,0.899
2018,97,Bhutan,5.082,0.796
2018,98,Somalia,4.982,0
2018,99,Cameroon,4.975,0.535
2018,100,Bulgaria,4.933,1.054
2018,101,Nepal,4.88,0.425
2018,102,Venezuela,4.806,0.996
2018,103,Gabon,4.758,1.036
2018,104,Palestinian Territories,4.743,0.642
2018,105,South Africa,4.724,0.94
2018,106,Iran,4.707,1.059
2018,107,Ivory Coast,4.671,0.541
2018,108,Ghana,4.657,0.592
2018,109,Senegal,4.631,0.429
2018,110,Laos,4.623,0.72
2018,111,Tunisia,4.592,0.9
2018,112,Albania,4.586,0.916
2018,113,Sierra Leone,4.571,0.256
2018,114,Congo (Brazzaville),4.559,0.682
2018,115,Bangladesh,4.5,0.532
2018,116,Sri Lanka,4.471,0.918
2018,117,Iraq,4.456,1.01
2018,118,Mali,4.447,0.37
2018,119,Namibia,4.441,0.874
2018,120,Cambodia,4.433,0.549
2018,121,Burkina Faso,4.424,0.314
2018,122,Egypt,4.419,0.885
2018,123,Mozambique,4.417,0.198
2018,124,Kenya,4.41,0.493
2018,125,Zambia,4.377,0.562
2018,126,Mauritania,4.356,0.557
2018,127,Ethiopia,4.35,0.308
2018,128,Georgia,4.34,0.853
2018,129,Armenia,4.321,0.816
2018,130,Myanmar,4.308,0.682
2018,131,Chad,4.301,0.358
2018,132,Congo (Kinshasa),4.245,0.069
2018,133,India,4.19,0.721
2018,134,Niger,4.166,0.131
2018,135,Uganda,4.161,0.322
2018,136,Benin,4.141,0.378
2018,137,Sudan,4.139,0.605
2018,138,Ukraine,4.103,0.793
2018,139,Togo,3.999,0.259
2018,140,Guinea,3.964,0.344
2018,141,Lesotho,3.808,0.472
2018,142,Angola,3.795,0.73
2018,143,Madagascar,3.774,0.262
2018,144,Zimbabwe,3.692,0.357
2018,145,Afghanistan,3.632,0.332
2018,146,Botswana,3.59,1.017
2018,147,Malawi,3.587,0.186
2018,148,Haiti,3.582,0.315
2018,149,Liberia,3.495,0.076
2018,150,Syria,3.462,0.689
2018,151,Rwanda,3.408,0.332
2018,152,Yemen,3.355,0.442
2018,153,Tanzania,3.303,0.455
2018,154,South Sudan,3.254,0.337
2018,155,Central African Republic,3.083,0.024
2018,156,Burundi,2.905,0.091
2017,1,Norway,7.537000179,1.616463184
2017,2,Denmark,7.521999836,1.482383013
2017,3,Iceland,7.504000187,1.48063302
2017,4,Switzerland,7.493999958,1.564979553
2017,5,Finland,7.468999863,1.443571925
2017,6,Netherlands,7.376999855,1.503944635
2017,7,Canada,7.315999985,1.479204416
2017,8,New Zealand,7.31400013,1.405706048
2017,9,Sweden,7.28399992,1.494387269
2017,10,Australia,7.28399992,1.484414935
2017,11,Israel,7.212999821,1.375382423
2017,12,Costa Rica,7.078999996,1.109706283
2017,13,Austria,7.006000042,1.487097263
2017,14,United States,6.993000031,1.546259284
2017,15,Ireland,6.977000237,1.535706639
2017,16,Germany,6.951000214,1.487923384
2017,17,Belgium,6.890999794,1.463780761
2017,18,Luxembourg,6.862999916,1.741943598
2017,19,United Kingdom,6.714000225,1.44163394
2017,20,Chile,6.65199995,1.25278461
2017,21,United Arab Emirates,6.647999763,1.626343369
2017,22,Brazil,6.635000229,1.10735321
2017,23,Czech Republic,6.609000206,1.352682352
2017,24,Argentina,6.598999977,1.185295463
2017,25,Mexico,6.578000069,1.153183818
2017,26,Singapore,6.572000027,1.69227767
2017,27,Malta,6.52699995,1.343279839
2017,28,Uruguay,6.453999996,1.217559695
2017,29,Guatemala,6.453999996,0.872001946
2017,30,Panama,6.452000141,1.233748436
2017,31,France,6.441999912,1.430923462
2017,32,Thailand,6.423999786,1.127868772
2017,33,Taiwan Province of China,6.421999931,1.433626533
2017,34,Spain,6.402999878,1.384397864
2017,35,Qatar,6.375,1.870765686
2017,36,Colombia,6.356999874,1.070622325
2017,37,Saudi Arabia,6.343999863,1.530623555
2017,38,Trinidad and Tobago,6.168000221,1.361355901
2017,39,Kuwait,6.105000019,1.632952452
2017,40,Slovakia,6.09800005,1.325393558
2017,41,Bahrain,6.086999893,1.488412261
2017,42,Malaysia,6.084000111,1.29121542
2017,43,Nicaragua,6.071000099,0.737299204
2017,44,Ecuador,6.007999897,1.000820398
2017,45,El Salvador,6.002999783,0.909784496
2017,46,Poland,5.97300005,1.291787863
2017,47,Uzbekistan,5.971000195,0.786441088
2017,48,Italy,5.964000225,1.395066619
2017,49,Russia,5.962999821,1.281778097
2017,50,Belize,5.955999851,0.907975316
2017,51,Japan,5.920000076,1.416915178
2017,52,Lithuania,5.90199995,1.314582348
2017,53,Algeria,5.872000217,1.091864467
2017,54,Latvia,5.849999905,1.260748625
2017,55,South Korea,5.837999821,1.401678443
2017,56,Moldova,5.837999821,0.72887063
2017,57,Romania,5.824999809,1.217683911
2017,58,Bolivia,5.822999954,0.833756566
2017,59,Turkmenistan,5.822000027,1.130776763
2017,60,Kazakhstan,5.818999767,1.28455627
2017,61,North Cyprus,5.809999943,1.346911311
2017,62,Slovenia,5.757999897,1.341205955
2017,63,Peru,5.715000153,1.035225272
2017,64,Mauritius,5.629000187,1.189395547
2017,65,Cyprus,5.620999813,1.355938077
2017,66,Estonia,5.611000061,1.32087934
2017,67,Belarus,5.568999767,1.15655756
2017,68,Libya,5.525000095,1.101803064
2017,69,Turkey,5.5,1.198274374
2017,70,Paraguay,5.493000031,0.932537317
2017,71,"Hong Kong S.A.R., China",5.472000122,1.551674843
2017,72,Philippines,5.429999828,0.857699215
2017,73,Serbia,5.394999981,1.069317579
2017,74,Jordan,5.335999966,0.991012394
2017,75,Hungary,5.323999882,1.286011934
2017,76,Jamaica,5.31099987,0.925579309
2017,77,Croatia,5.293000221,1.222556233
2017,78,Kosovo,5.278999805,0.951484382
2017,79,China,5.272999763,1.081165791
2017,80,Pakistan,5.269000053,0.726883531
2017,81,Indonesia,5.262000084,0.995538592
2017,82,Venezuela,5.25,1.128431201
2017,83,Montenegro,5.236999989,1.121129036
2017,84,Morocco,5.235000134,0.878114581
2017,85,Azerbaijan,5.234000206,1.153601766
2017,86,Dominican Republic,5.230000019,1.079373837
2017,87,Greece,5.227000237,1.289487481
2017,88,Lebanon,5.224999905,1.074987531
2017,89,Portugal,5.195000172,1.315175295
2017,90,Bosnia and Herzegovina,5.18200016,0.982409418
2017,91,Honduras,5.181000233,0.730573118
2017,92,Macedonia,5.175000191,1.064577937
2017,93,Somalia,5.151000023,0.022643184
2017,94,Vietnam,5.073999882,0.788547575
